seed,sim_gens,min_K,max_K,period,init_K,init_dec,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
4550745861654,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,14
4181394726270,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,15
4952125296997,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,16
7989254378907,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,17
4415325894137,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,18
4887664566252,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,19
4803675954528,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,2
4353155396207,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,20
4164804663947,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,21
4591526193080,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,22
8153045194366,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,23
8124435059563,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,24
7713542086925,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,25
8002714444968,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,26
3957893817234,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,27
4841443917076,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,28
8035984612861,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,29
4822316099400,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,3
4604346296197,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,30
4084104343338,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,4
4801945943046,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,5
2589985852545,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,6
4595376221283,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,7
7854943486469,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,8
4870144365651,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.5446,4,9
4523785654245,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,1
4012934075342,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,10
4333125321014,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,11
3879713367896,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,12
1909405197718,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,13
