seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
7166514930917,80,0,0,0.13,0.876,0.7805,15,23
7259275394690,80,0,0,0.13,0.876,0.7805,15,24
3126315138438,80,0,0,0.13,0.876,0.7805,15,25
7192995075995,80,0,0,0.13,0.876,0.7805,15,26
7117874658659,80,0,0,0.13,0.876,0.7805,15,27
7685206389995,80,0,0,0.13,0.876,0.7805,15,28
7201205119363,80,0,0,0.13,0.876,0.7805,15,29
4287104664156,80,0,0,0.13,0.876,0.7805,15,3
2344495565721,80,0,0,0.13,0.876,0.7805,15,30
3152835236106,80,0,0,0.13,0.876,0.7805,15,4
4763296239077,80,0,0,0.13,0.876,0.7805,15,5
1792676142722,80,0,0,0.13,0.876,0.7805,15,6
7110524622333,80,0,0,0.13,0.876,0.7805,15,7
4755296119648,80,0,0,0.13,0.876,0.7805,15,8
3090365059983,80,0,0,0.13,0.876,0.7805,15,9
4315894939092,80,0,0,0.13,0.876,0.7805,4,1
2339975550315,80,0,0,0.13,0.876,0.7805,4,10
7050214462322,80,0,0,0.13,0.876,0.7805,4,11
7214645191892,80,0,0,0.13,0.876,0.7805,4,12
3021774804724,80,0,0,0.13,0.876,0.7805,4,13
4763076237660,80,0,0,0.13,0.876,0.7805,4,14
3152845236107,80,0,0,0.13,0.876,0.7805,4,15
2990984679353,80,0,0,0.13,0.876,0.7805,4,16
4376085402251,80,0,0,0.13,0.876,0.7805,4,17
1665684841070,80,0,0,0.13,0.876,0.7805,4,18
4276984592759,80,0,0,0.13,0.876,0.7805,4,19
7678146365265,80,0,0,0.13,0.876,0.7805,4,2
7254105369697,80,0,0,0.13,0.876,0.7805,4,20
3116545108945,80,0,0,0.13,0.876,0.7805,4,21
3092695068440,80,0,0,0.13,0.876,0.7805,4,22
3148115223868,80,0,0,0.13,0.876,0.7805,4,23
3015244775794,80,0,0,0.13,0.876,0.7805,4,24
3105285078925,80,0,0,0.13,0.876,0.7805,4,25
4330895140043,80,0,0,0.13,0.876,0.7805,4,26
1790106034225,80,0,0,0.13,0.876,0.7805,4,27
7050164462323,80,0,0,0.13,0.876,0.7805,4,28
3109255086344,80,0,0,0.13,0.876,0.7805,4,29
