seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
3646301986620,80,0,0.13,0.876,0.7805,4,21
8002074441292,80,0,0.13,0.876,0.7805,4,22
7812933009381,80,0,0.13,0.876,0.7805,4,23
7793552804204,80,0,0.13,0.876,0.7805,4,24
4169004681841,80,0,0.13,0.876,0.7805,4,25
4592186196532,80,0,0.13,0.876,0.7805,4,26
8232835600629,80,0,0.13,0.876,0.7805,4,27
4764915671796,80,0,0.13,0.876,0.7805,4,28
2048686339136,80,0,0.13,0.876,0.7805,4,29
7993714391869,80,0,0.13,0.876,0.7805,4,3
8019414535206,80,0,0.13,0.876,0.7805,4,30
1994156043141,80,0,0.13,0.876,0.7805,4,4
4057684238061,80,0,0.13,0.876,0.7805,4,5
4017064090098,80,0,0.13,0.876,0.7805,4,6
4128104519221,80,0,0.13,0.876,0.7805,4,7
4347015373768,80,0,0.13,0.876,0.7805,4,8
2007106111144,80,0,0.13,0.876,0.7805,4,9
2592135879510,80,0.01,0.13,0.876,0.5446,15,1
3953713794668,80,0.01,0.13,0.876,0.5446,15,10
8135525105459,80,0.01,0.13,0.876,0.5446,15,11
3815532951831,80,0.01,0.13,0.876,0.5446,15,12
8193675393186,80,0.01,0.13,0.876,0.5446,15,13
8092764892955,80,0.01,0.13,0.876,0.5446,15,14
2578045693976,80,0.01,0.13,0.876,0.5446,15,15
4855666320660,80,0.01,0.13,0.876,0.5446,15,16
4813682892374,80,0.01,0.13,0.876,0.5446,15,17
8100624941295,80,0.01,0.13,0.876,0.5446,15,18
3869073294948,80,0.01,0.13,0.876,0.5446,15,19
4300805190921,80,0.01,0.13,0.876,0.5446,15,2
2017516170794,80,0.01,0.13,0.876,0.5446,15,20
1922195646442,80,0.01,0.13,0.876,0.5446,15,21
4355815404722,80,0.01,0.13,0.876,0.5446,15,22
1981485969772,80,0.01,0.13,0.876,0.5446,15,23
1994026038575,80,0.01,0.13,0.876,0.5446,15,24
3975383901800,80,0.01,0.13,0.876,0.5446,15,25
7850733433465,80,0.01,0.13,0.876,0.5446,15,26
7704582021612,80,0.01,0.13,0.876,0.5446,15,27
3668922110937,80,0.01,0.13,0.876,0.5446,15,28
3876633342823,80,0.01,0.13,0.876,0.5446,15,29
4280635111187,80,0.01,0.13,0.876,0.5446,15,3
4325235289956,80,0.01,0.13,0.876,0.5446,15,30
4810382810283,80,0.01,0.13,0.876,0.5446,15,4
4940635168387,80,0.01,0.13,0.876,0.5446,15,5
4915814901170,80,0.01,0.13,0.876,0.5446,15,6
8202045434197,80,0.01,0.13,0.876,0.5446,15,7
8009564480475,80,0.01,0.13,0.876,0.5446,15,8
3803652879407,80,0.01,0.13,0.876,0.5446,15,9
4820983183134,80,0.01,0.13,0.876,0.5446,4,1
8135295104769,80,0.01,0.13,0.876,0.5446,4,10
3953513793971,80,0.01,0.13,0.876,0.5446,4,11
4409085629022,80,0.01,0.13,0.876,0.5446,4,12
4010784067668,80,0.01,0.13,0.876,0.5446,4,13
4149024601176,80,0.01,0.13,0.876,0.5446,4,14
7793612805351,80,0.01,0.13,0.876,0.5446,4,15
3737222498674,80,0.01,0.13,0.876,0.5446,4,16
4402375604156,80,0.01,0.13,0.876,0.5446,4,17
8029174577280,80,0.01,0.13,0.876,0.5446,4,18
2593715903647,80,0.01,0.13,0.876,0.5446,4,19
3947703767227,80,0.01,0.13,0.876,0.5446,4,2
7784782715397,80,0.01,0.13,0.876,0.5446,4,20
3811672930918,80,0.01,0.13,0.876,0.5446,4,21
7927754053244,80,0.01,0.13,0.876,0.5446,4,22
7734882300719,80,0.01,0.13,0.876,0.5446,4,23
7713212084607,80,0.01,0.13,0.876,0.5446,4,24
4278905102679,80,0.01,0.13,0.876,0.5446,4,25
1942235762974,80,0.01,0.13,0.876,0.5446,4,26
4584126130352,80,0.01,0.13,0.876,0.5446,4,27
1995856052793,80,0.01,0.13,0.876,0.5446,4,28
4788045854060,80,0.01,0.13,0.876,0.5446,4,29
4837673800448,80,0.01,0.13,0.876,0.5446,4,3
4039004171761,80,0.01,0.13,0.876,0.5446,4,30
2578015693403,80,0.01,0.13,0.876,0.5446,4,4
3935013700151,80,0.01,0.13,0.876,0.5446,4,5
4151174610060,80,0.01,0.13,0.876,0.5446,4,6
7907603929725,80,0.01,0.13,0.876,0.5446,4,7
4261655043680,80,0.01,0.13,0.876,0.5446,4,8
4981875616869,80,0.01,0.13,0.876,0.5446,4,9
7980284330388,80,0.01,0.13,0.876,0.6562,15,1
4610736349147,80,0.01,0.13,0.876,0.6562,15,10
3710542347888,80,0.01,0.13,0.876,0.6562,15,11
4225794897040,80,0.01,0.13,0.876,0.6562,15,12
3701442295038,80,0.01,0.13,0.876,0.6562,15,13
3815852953470,80,0.01,0.13,0.876,0.6562,15,14
8028184574437,80,0.01,0.13,0.876,0.6562,15,15
3976143904122,80,0.01,0.13,0.876,0.6562,15,16
4914064874236,80,0.01,0.13,0.876,0.6562,15,17
7793522804192,80,0.01,0.13,0.876,0.6562,15,18
4179104717285,80,0.01,0.13,0.876,0.6562,15,19
7782122687959,80,0.01,0.13,0.876,0.6562,15,2
7884633755982,80,0.01,0.13,0.876,0.6562,15,20
8036784614742,80,0.01,0.13,0.876,0.6562,15,21
7737612321419,80,0.01,0.13,0.876,0.6562,15,22
4010624066389,80,0.01,0.13,0.876,0.6562,15,23
7941434121341,80,0.01,0.13,0.876,0.6562,15,24
2618676295130,80,0.01,0.13,0.876,0.6562,15,25
