"catalognumber","decimallatitude","decimallongitude"
"18213416",51.0648639019,-114.1199195366
"18215287",51.1357199243,-114.1944347395
"18181337",51.101238,-114.135545
"18150970",51.1254054638,-114.1394764557
"18101382",51.1186597743,-114.2123168507
"17938030",51.0799444,-114.1292353
"17835573",51.0802960536,-114.132447727
"17795943",51.0790732596,-114.1450864635
"17375583",51.0771503672,-114.1321139597
"16724571",51.0795097351,-114.1304702759
"17937307",51.0774349701,-114.1254219895
"17934279",50.173652,-97.138827
"17931771",51.0781599,-114.1358007
"17931328",51.07816,-114.135801
"17931531",51.0847268,-114.1394795
"17912197",51.134994637,-114.1949507776
"17905622",40.7129819341,-104.1175743526
"17891761",51.1464858064,-114.107805588
"17889693",51.0214415147,-114.1088551005
"17812582",51.054681862,-114.0749065185
"17804680",51.0596447822,-114.1208441556
"17796651",50.895586,-114.04444
"17746513",51.1114614954,-114.1436549001
"17712617",51.0617511716,-114.0652371719
"17693028",51.0212189332,-114.1087038071
"17658471",51.0212231242,-114.1087315512
"17623225",51.1028067607,-114.0580331065
"17332326",51.0744256062,-114.12427973
"17220600",51.1353988066,-114.1952169408
"17220330",51.0796603,-114.1276806
"17639271",46.8377571954,-100.7698573941
"17582684",51.0577781465,-114.1190340741
"17581421",51.0748882345,-114.1315298779
"17578688",51.0772094727,-114.1313858032
"17547211",51.0610073837,-114.0674688088
"17545821",52.1190708504,-106.6266561715
"17436591",51.056371479,-114.1196877882
"17405427",51.0678631608,-114.1188532859
"17337264",51.022498083,-114.107093811
"17332359",51.0523210966,-114.1214429587
"17332253",51.0557843546,-114.1198785603
"17281122",51.0794271435,-114.132150323
"17281009",51.0780423349,-114.128451778
"17280757",51.0809393454,-114.1309526363
"17280166",51.0354500829,-114.1796289019
"17279948",51.0797810846,-114.1321462788
"17279674",51.0798083962,-114.1314535145
"17263623",51.0781599,-114.1358007
"17247375",51.1357089725,-114.1948815667
"17247065",51.0376339259,-114.0809229113
"17230137",51.07816,-114.135801
