"catalognumber","decimallatitude","decimallongitude","roundlat","roundlon"
"23144273",51.0656249751,-113.9875990525,51.06562,-113.9876
"23135117",51.068462141,-114.0623699874,51.06846,-114.06237
"23087748",46.9001101763,-96.8128471558,46.90011,-96.81285
"23035782",51.294155,-114.0354,51.29416,-114.0354
"22920421",51.07088763,-114.06774908,51.07089,-114.06775
"22474379",50.954301,-114.037232,50.9543,-114.03723
"22461447",50.9110027778,-114.0470416667,50.911,-114.04704
"22464143",49.061377915,-107.3587795087,49.06138,-107.35878
"22388262",51.0823216243,-114.0667572432,51.08232,-114.06676
"22388328",51.0823895177,-114.0668811278,51.08239,-114.06688
"22349092",50.4201622675,-104.6342926331,50.42016,-104.63429
"22286426",40.0024778619,-107.8370742152,40.00248,-107.83707
"22220554",52.27622285,-113.83688246,52.27622,-113.83688
"22006451",51.0705945,-114.113175,51.07059,-114.11318
"21899665",50.97775,-114.0822,50.97775,-114.0822
"21854257",39.2267883333,-105.872545,39.22679,-105.87254
"21775368",53.5392999628,-113.5114407771,53.5393,-113.51144
"18171228",51.078425,-114.1324528333,51.07843,-114.13245
"21152000",51.1088490572,-114.0843410605,51.10885,-114.08434
"21106118",51.010109441,-114.1125378062,51.01011,-114.11254
"21041031",51.041232624,-114.1480700897,51.04123,-114.14807
"20540783",50.9810783333,-114.0200888333,50.98108,-114.02009
"9086818",51.1189415362,-113.937886476,51.11894,-113.93789
"7700799",41.858311,-110.765877,41.85831,-110.76588
"7326485",52.1234961702,-106.6622579097,52.1235,-106.66226
"20987970",53.4125981835,-113.4499662003,53.4126,-113.44997
"20954908",52.1312072835,-106.6339233223,52.13121,-106.63392
"20931453",51.0497055,-114.1674283333,51.04971,-114.16743
"19335063",41.433607,-111.033368,41.43361,-111.03337
"20608140",53.5256694444,-113.5213,53.52567,-113.5213
"20500567",51.1010553848,-114.1666164415,51.10106,-114.16662
"20308693",49.0858903,-111.6195612,49.08589,-111.61956
"20290699",53.5242879271,-113.5235260986,53.52429,-113.52353
"19699841",49.1521419864,-107.5157672344,49.15214,-107.51577
"19271184",50.600770658,-104.8526130941,50.60077,-104.85261
"8951369",51.0754195,-114.1342555,51.07542,-114.13426
"9092646",51.077922821,-114.1279602051,51.07792,-114.12796
"19335070",41.459343,-111.147238,41.45934,-111.14724
"9655419",50.4996719874,-104.6595339772,50.49967,-104.65953
"9118980",38.86721,-119.88968,38.86721,-119.88968
"9092989",37.8756494607,-119.3595457077,37.87565,-119.35955
"8896276",51.0794916667,-114.1254721667,51.07949,-114.12547
"8991286",51.0787658691,-114.1325302124,51.07877,-114.13253
"8858948",51.0576324463,-114.1212692261,51.05763,-114.12127
"8820211",51.0756378174,-114.1346359253,51.07564,-114.13464
"8905827",51.07755,-114.1327528333,51.07755,-114.13275
"8800949",51.1089873,-114.0587259,51.10899,-114.05873
"8800763",51.1156419,-114.0602889,51.11564,-114.06029
"8800001",51.0781599,-114.1358007,51.07816,-114.1358
"8799607",51.104755,-114.066652,51.10475,-114.06665
"8861753",51.10898636,-114.18530624,51.10899,-114.18531
"8400392",51.1519770837,-114.0930803587,51.15198,-114.09308
"8344172",52.2586858562,-113.7755127226,52.25869,-113.77551
"5940497",50.9118461021,-113.9997571707,50.91185,-113.99976
"4466601",52.27760173,-113.83973614,52.2776,-113.83974
"19161032",38.7224062767,-120.0271524197,38.72241,-120.02715
"19161030",39.3451050564,-119.9218491539,39.34511,-119.92185
"19161033",38.78174,-119.97736,38.78174,-119.97736
"19161031",38.71541,-119.9978,38.71541,-119.9978
"18908126",49.1237711,-107.4469847,49.12377,-107.44698
"18452998",51.079381479,-114.125655368,51.07938,-114.12566
"18321887",51.0181083333,-114.1046,51.01811,-114.1046
"18320150",51.0799518748,-114.1309383139,51.07995,-114.13094
"18320025",51.0797979023,-114.1309530661,51.0798,-114.13095
"18320017",51.0798242314,-114.1310301796,51.07982,-114.13103
"18320207",51.0758028642,-114.1268593445,51.0758,-114.12686
"18320065",51.0797930578,-114.1310093924,51.07979,-114.13101
"18320056",51.0798425565,-114.1310955584,51.07984,-114.1311
"18320044",51.0797816836,-114.1310194507,51.07978,-114.13102
"18286782",51.0795861667,-114.1306528333,51.07959,-114.13065
"18219076",51.0791554672,-114.1325784847,51.07916,-114.13258
"18116322",51.0905036926,-114.1296691895,51.0905,-114.12967
"17728125",43.031944,-107.003554,43.03194,-107.00355
"17539328",51.080375556,-114.1206232925,51.08038,-114.12062
"16921916",51.2781066895,-114.028465271,51.27811,-114.02847
"16981755",51.0812258,-114.1297774,51.08123,-114.12978
"16667969",53.520053035,-113.6034102531,53.52005,-113.60341
"16665784",51.086584,-114.139298,51.08658,-114.1393
"16660280",51.0794448853,-114.1238861084,51.07944,-114.12389
"15652644",51.0418138889,-114.0797277778,51.04181,-114.07973
"15652645",51.0418083333,-114.0796805556,51.04181,-114.07968
"12865202",51.3527015496,-105.2191543579,51.3527,-105.21915
"12838290",49.7919816667,-102.932015,49.79198,-102.93202
"12838407",49.8646683333,-102.99067,49.86467,-102.99067
"11439515",51.1336724184,-100.0695576666,51.13367,-100.06956
"9118978",39.15773,-119.88705,39.15773,-119.88705
"9118975",39.3473,-119.92174,39.3473,-119.92174
"19123814",51.0872002787,-114.080824666,51.0872,-114.08082
"18509039",51.0430561889,-114.0441089855,51.04306,-114.04411
"15111563",48.6546858482,-102.3870849609,48.65469,-102.38708
"12357622",40.0641948028,-105.5480712088,40.06419,-105.54807
"18861716",46.8538660949,-100.7645193223,46.85387,-100.76452
"18848869",52.133939359,-106.632415317,52.13394,-106.63242
"18687004",53.5194444444,-113.5222222222,53.51944,-113.52222
"16031714",52.0904554502,-106.6430394524,52.09046,-106.64304
"15736104",36.7770167549,-118.42020493,36.77702,-118.4202
"18381334",51.0212359904,-114.108656617,51.02124,-114.10866
"18344211",51.0463578,-114.0820768,51.04636,-114.08208
"18343797",51.103805,-113.97264,51.1038,-113.97264
"18300098",51.0799340511,-114.1298068563,51.07993,-114.12981
"18300109",51.079934051,-114.129683475,51.07993,-114.12968
"18300104",51.0799439513,-114.1299838829,51.07994,-114.12998
"18300106",51.0798851844,-114.1299785177,51.07989,-114.12998
"18292946",51.0797233582,-114.130279541,51.07972,-114.13028
"18292953",51.0783348083,-114.1322250366,51.07833,-114.13223
"18287949",51.0564611667,-114.16848,51.05646,-114.16848
"18220115",51.0802554722,-114.1254761944,51.08026,-114.12548
"18213416",51.0648639019,-114.1199195366,51.06486,-114.11992
"18215287",51.1357199243,-114.1944347395,51.13572,-114.19443
"18181337",51.101238,-114.135545,51.10124,-114.13554
"18150970",51.1254054638,-114.1394764557,51.12541,-114.13948
"18101382",51.1186597743,-114.2123168507,51.11866,-114.21232
"17938030",51.0799444,-114.1292353,51.07994,-114.12924
"17835573",51.0802960536,-114.132447727,51.0803,-114.13245
"17795943",51.0790732596,-114.1450864635,51.07907,-114.14509
