iteration,K,pop_size,desired_h2,p_corin,p_ednrb,Va,Ve,Vp,obs_h2
1,2750,2750,0.64,0.703273,0.576182,6.69134,3.76388,10.4389,0.640999
1,2750,2750,0.64,0.703273,0.576182,6.60492,3.71527,10.2407,0.644967
1,2750,2750,0.64,0.703273,0.576182,6.425,3.61406,9.72539,0.660642
1,2750,2750,0.64,0.703273,0.576182,6.46865,3.63861,10.2403,0.631684
1,2750,2750,0.64,0.703273,0.576182,6.16861,3.46984,9.62062,0.641187
1,2750,2750,0.64,0.703273,0.576182,6.48096,3.64554,10.0275,0.646321
1,2750,2750,0.64,0.703273,0.576182,6.3343,3.56304,10.0659,0.629286
1,2750,2750,0.64,0.703273,0.576182,6.23372,3.50647,9.62665,0.647548
1,2750,2750,0.64,0.703273,0.576182,6.21199,3.49424,9.29029,0.668654
1,2750,2750,0.64,0.703273,0.576182,6.29278,3.53969,9.59057,0.656143
1,2750,2750,0.64,0.703273,0.576182,6.38346,3.5907,10.1594,0.628334
1,2750,2750,0.64,0.703273,0.576182,6.3141,3.55168,10.1061,0.624783
1,2750,2750,0.64,0.703273,0.576182,6.4234,3.61316,9.95025,0.645552
1,2750,2750,0.64,0.703273,0.576182,6.18306,3.47797,9.42822,0.655804
1,2750,2750,0.64,0.703273,0.576182,6.22656,3.50244,9.63439,0.646285
1,2750,2750,0.64,0.703273,0.576182,6.17218,3.47185,9.74548,0.633337
1,2750,2750,0.64,0.703273,0.576182,6.7216,3.7809,10.3808,0.647506
1,2750,2750,0.64,0.703273,0.576182,6.31595,3.55272,9.96103,0.634066
1,2750,2750,0.64,0.703273,0.576182,6.35452,3.57442,9.90023,0.641856
1,2750,2750,0.64,0.703273,0.576182,6.5713,3.69635,10.3827,0.632907
1,2750,2750,0.64,0.703273,0.576182,6.22842,3.50349,9.77953,0.636884
1,2750,2750,0.64,0.703273,0.576182,6.21709,3.49711,9.54754,0.651172
1,2750,2750,0.64,0.703273,0.576182,6.44066,3.62287,9.97837,0.645462
1,2750,2750,0.64,0.703273,0.576182,6.41448,3.60814,9.90672,0.647487
1,2750,2750,0.64,0.703273,0.576182,6.40801,3.60451,9.69468,0.660983
1,2750,2750,0.64,0.703273,0.576182,6.26198,3.52237,9.57504,0.65399
1,2750,2750,0.64,0.703273,0.576182,6.79859,3.82421,10.5378,0.645163
1,2750,2750,0.64,0.703273,0.576182,6.54859,3.68358,10.4934,0.624066
1,2750,2750,0.64,0.703273,0.576182,6.32571,3.55821,9.78914,0.646197
1,2750,2750,0.64,0.703273,0.576182,6.17865,3.47549,9.55208,0.646839
1,2750,2750,0.64,0.703273,0.576182,6.15636,3.46295,9.43016,0.652838
1,2750,2750,0.64,0.703273,0.576182,6.55878,3.68931,10.0447,0.652958
1,2750,2750,0.64,0.703273,0.576182,6.1147,3.43952,9.88443,0.61862
1,2750,2750,0.64,0.703273,0.576182,6.24486,3.51273,10.2116,0.611546
1,2750,2750,0.64,0.703273,0.576182,6.42678,3.61506,10.0738,0.637972
1,2750,2750,0.64,0.703273,0.576182,6.58575,3.70449,10.2545,0.64223
1,2750,2750,0.64,0.703273,0.576182,6.30914,3.54889,9.9319,0.63524
1,2750,2750,0.64,0.703273,0.576182,6.35954,3.57724,10.1336,0.627569
1,2750,2750,0.64,0.703273,0.576182,6.16057,3.46532,9.71074,0.634408
1,2750,2750,0.64,0.703273,0.576182,6.34708,3.57024,9.70887,0.653741
1,2750,2750,0.64,0.703273,0.576182,6.40141,3.60079,10.0396,0.637614
