gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1677326402	StillImage	image/jpeg	https://static.inaturalist.org/photos/11314290/original.jpeg?1508546467	https://www.inaturalist.org/photos/11314290					2017-10-20T18:25:25Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677326402	StillImage	image/jpeg	https://static.inaturalist.org/photos/11314284/original.jpeg?1508546460	https://www.inaturalist.org/photos/11314284					2017-10-20T18:25:21Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677318342	StillImage	image/jpeg	https://static.inaturalist.org/photos/11271362/original.jpeg?1508360108	https://www.inaturalist.org/photos/11271362					2017-10-18T14:54:21Z	eamonmcfadden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eamonmcfadden
1677318265	StillImage	image/jpeg	https://static.inaturalist.org/photos/11271335/original.jpeg?1508360050	https://www.inaturalist.org/photos/11271335					2017-10-18T14:53:29Z	eamonmcfadden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eamonmcfadden
1677318187	StillImage	image/jpeg	https://static.inaturalist.org/photos/11273880/original.jpg?1508367724	https://www.inaturalist.org/photos/11273880					2017-10-13T22:37:49Z	taesaghm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	taesaghm
1677316844	StillImage	image/jpeg	https://static.inaturalist.org/photos/11263778/original.jpeg?1508336312	https://www.inaturalist.org/photos/11263778					2017-10-17T18:41:22Z	eamonmcfadden		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eamonmcfadden
1677315838	StillImage	image/jpeg	https://static.inaturalist.org/photos/11259491/original.jpg?1508297430	https://www.inaturalist.org/photos/11259491					2017-10-17T20:28:53Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677315039	StillImage	image/jpeg	https://static.inaturalist.org/photos/11256474/original.jpeg?1508290367	https://www.inaturalist.org/photos/11256474					2017-10-17T18:27:49Z	bryn067		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bryn067
1677315039	StillImage	image/jpeg	https://static.inaturalist.org/photos/11256480/original.jpeg?1508290375	https://www.inaturalist.org/photos/11256480					2017-10-17T18:27:45Z	bryn067		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bryn067
1677315039	StillImage	image/jpeg	https://static.inaturalist.org/photos/11256484/original.jpeg?1508290380	https://www.inaturalist.org/photos/11256484					2017-10-17T18:27:57Z	bryn067		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bryn067
1677314935	StillImage	image/jpeg	https://static.inaturalist.org/photos/11255666/original.jpeg?1508288494	https://www.inaturalist.org/photos/11255666					2017-10-17T18:40:11Z	ms103		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ms103
1677313590	StillImage	image/jpeg	https://static.inaturalist.org/photos/11248718/original.jpeg?1508269117	https://www.inaturalist.org/photos/11248718					2017-10-17T13:27:01Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677313590	StillImage	image/jpeg	https://static.inaturalist.org/photos/11248720/original.jpeg?1508269121	https://www.inaturalist.org/photos/11248720					2017-10-17T13:27:13Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677313590	StillImage	image/jpeg	https://static.inaturalist.org/photos/11248722/original.jpeg?1508269126	https://www.inaturalist.org/photos/11248722					2017-10-17T13:26:58Z	alexis_schlemm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alexis_schlemm
1677312656	StillImage	image/jpeg	https://static.inaturalist.org/photos/11243268/original.jpg?1508251620	https://www.inaturalist.org/photos/11243268					2017-10-17T14:40:57Z	jakelarsson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jakelarsson
1677312656	StillImage	image/jpeg	https://static.inaturalist.org/photos/11243284/original.jpg?1508251674	https://www.inaturalist.org/photos/11243284					2017-10-17T14:40:57Z	jakelarsson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jakelarsson
1677312656	StillImage	image/jpeg	https://static.inaturalist.org/photos/11243282/original.jpg?1508251670	https://www.inaturalist.org/photos/11243282					2017-10-17T14:40:57Z	jakelarsson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jakelarsson
1677311109	StillImage	image/jpeg	https://static.inaturalist.org/photos/11243664/original.jpg?1508253265	https://www.inaturalist.org/photos/11243664					2017-10-17T03:20:48Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677311109	StillImage	image/jpeg	https://static.inaturalist.org/photos/11243662/original.jpg?1508253260	https://www.inaturalist.org/photos/11243662					2017-10-17T03:20:48Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677310269	StillImage	image/jpeg	https://static.inaturalist.org/photos/11234029/original.jpg?1508203038	https://www.inaturalist.org/photos/11234029					2017-10-17T01:08:30Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677310269	StillImage	image/jpeg	https://static.inaturalist.org/photos/11234021/original.jpg?1508203020	https://www.inaturalist.org/photos/11234021					2017-10-17T01:08:30Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677310269	StillImage	image/jpeg	https://static.inaturalist.org/photos/11234023/original.jpg?1508203026	https://www.inaturalist.org/photos/11234023					2017-10-17T01:08:30Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677306370	StillImage	image/jpeg	https://static.inaturalist.org/photos/11213764/original.jpg?1508120990	https://www.inaturalist.org/photos/11213764					2017-10-16T00:55:31Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677300996	StillImage	image/jpeg	https://static.inaturalist.org/photos/11187869/original.jpg?1508031255	https://www.inaturalist.org/photos/11187869					2017-10-11T20:57:40Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677300996	StillImage	image/jpeg	https://static.inaturalist.org/photos/11187870/original.jpg?1508031259	https://www.inaturalist.org/photos/11187870					2017-10-11T20:57:40Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677300917	StillImage	image/jpeg	https://static.inaturalist.org/photos/11188005/original.jpg?1508031598	https://www.inaturalist.org/photos/11188005					2017-10-14T23:53:45Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677300917	StillImage	image/jpeg	https://static.inaturalist.org/photos/11188008/original.jpg?1508031602	https://www.inaturalist.org/photos/11188008					2017-10-14T23:53:45Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677300917	StillImage	image/jpeg	https://static.inaturalist.org/photos/11188001/original.jpg?1508031593	https://www.inaturalist.org/photos/11188001					2017-10-14T23:53:45Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677300917	StillImage	image/jpeg	https://static.inaturalist.org/photos/11187997/original.jpg?1508031589	https://www.inaturalist.org/photos/11187997					2017-10-14T23:53:45Z	Amanda Young		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Amanda Young
1677296490	StillImage	image/jpeg	https://static.inaturalist.org/photos/11164586/original.jpeg?1507943349	https://www.inaturalist.org/photos/11164586					2017-10-13T19:03:39Z	davidyang		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	davidyang
1677295769	StillImage	image/jpeg	https://static.inaturalist.org/photos/11161179/original.jpg?1507932692	https://www.inaturalist.org/photos/11161179					2017-10-13T15:21:25Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677295769	StillImage	image/jpeg	https://static.inaturalist.org/photos/11161177/original.jpg?1507932689	https://www.inaturalist.org/photos/11161177					2017-10-13T15:21:36Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
